,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
861301 B. hyperborea,–,–,–,–,R,F,1,,,,,,,,
8614 Achillea,,,,,,,,,,,,,,,8614
861401a A. millefolium ssp. millefolium,–,–,**,**,F,F,1,,,,,,1,,
861401b A. millefolium ssp. borealis,–,–,?,F,F,F,1,,,,,,,,
861401c A. millefolium ssp. lanulosa,–,–,–,–,R,F,1,,,,1,,,,
861402 A. ptarmica,–,–,–,–,*,F,1,,,1,,,,,
861403 A. salicifolia,–,–,–,–,R,F,1,,,,,,,,
861404a A. alpina ssp. camtschatica,–,–,–,–,R,F,1,,,,,,,,
861404b A. alpina ssp. multiflora,–,–,–,–,R,F,1,,,,1,,,,
8615 Tripleurospermum,,,,,,,,,,,,,,,8615
861501a T. maritimum ssp. subpolare,–,–,–,–,S,F,1,,,,,,1,,
861501b T. maritimum ssp. phaeocephalum,–,–,R,F,F,F,1,,,,,,,1,
861502 T. tetragonospermum,–,–,–,–,*,R,1,,,1,,,,,
861503 T. inodorum,–,–,–,–,*,*,1,,,,,,,,
8616 Matricaria,,,,,,,,,,,,,,,8616
861601 M. recutita,–,–,–,–,*,*,1,,,,,1,,,
8617 Lepidotheca,,,,,,,,,,,,,,,8617
861701 L. suaveolens,–,–,–,–,*,*,1,,,1,,,,,
8618 Chrysanthemum,,,,,,,,,,,,,,,8618
861801 C. mongolicum,–,–,–,R,S,F,1,,,,,,,,
8619 Arctanthemum,,,,,,,,,,,,,,,8619
861901a A. arcticum ssp. arcticum,–,–,–,R,F,F,1,,,,,,,,
861901b A. arcticum ssp. polare,–,–,–,R,F,F,1,,,,,,,,
8620 Hulteniella,,,,,,,,,,,,,,,8620
862001 H. integrifolia,–,R,F,F,F,F,1,,,,,,,,
8621 Leucanthemum,,,,,,,,,,,,,,,8621
862101 L. vulgare,–,–,–,–,*,F,1,,,,,1,,,
8622 Tanacetum,,,,,,,,,,,,,,,8622
862201a T. vulgare ssp. vulgare,–,–,–,–,*,F,1,,,,,1,,,
862201b T. vulgare ssp. boreale,–,–,–,R,F,F,1,,,,,,,,
862202 T. bipinnatum,–,–,–,S,F,F,1,,,,,,,,
862203 T. huronense,–,–,–,–,R,S,1,,,,,,,,
8623 Artemisia,,,,,,,,,,,,,,,8623
862301 A. tanacetifolia,–,–,–,–,R,S,1,,,,,,,,
862302 A. arctisibirica,–,–,–,R,S,R,1,,,,,,,,
862303a A. norvegica var. uralensis,–,–,–,–,R,S,1,,,,,,,,
862304 A. subarctica,–,–,–,–,F,F,1,,,,,,,,
862305a A. arctica ssp. arctica,–,–,–,S,F,F,1,,,,,,,,
862305b A. arctica ssp. ehrendorferi,–,–,R,F,F,F,1,,,,,,,,
862305c A. arctica ssp. beringensis,–,–,–,–,R,R,1,,,,,,,,
862306 A. comata,–,–,R,F,S,–,1,1,,,,,,,
862307 A. furcata,–,–,R,F,F,F,1,,,,,,,,
862308 A. globularia,–,–,–,F,F,S,1,,,,,,,,
862308a A. globularia var. lutea,–,–,–,–,R,R,1,,,,,,,,
862309 A. flava,–,–,–,–,R,R,1,,,,,,,,
862310a A. gmelinii ssp. scheludjakoviae,–,–,–,–,b,F,1,,1,,,,,,
862311 A. frigida,–,–,–,–,R,F,1,,,,,,,,
862312 A. sericea,–,–,–,–,R,S,1,,,,,,,,
862313 A. hyperborea,–,–,?,R,R,R,1,,,,,,,,
862314a A. lagopus ssp. abbreviata,–,–,–,–,S,S,1,,,,,,,,
862314b A. lagopus ssp. triniana,–,–,–,R,R,R,1,,,,,,,,
862315 A. glomerata,–,–,S,F,F,F,1,,,,,,,,
862316 A. senjavinensis,–,–,–,–,R,–,1,1,,,,,,,
862317a A. kruhsiana ssp. kruhsiana,–,–,R,F,F,F,1,,,,,,,,
862317b A. krushiana ssp. alaskana,–,–,–,R,F,F,1,,,,,,,,
862317c A. kruhsiana ssp. condensata,–,–,–,–,R,S,1,,,,,,,,
862318 A. samojedorum,–,–,–,–,R,?,1,,,,,,,,
862319 A. jacutica,–,–,–,*,–,S,1,,,1,,,,,
862320a A. tilesii ssp. tilesii,–,–,S,F,F,F,1,,,,,,,,
862320b A. tilesii ssp. elatior,–,–,–,R,S,F,1,,,,,,,,
862321 A. vulgaris,–,–,–,–,*,S,1,,,,,1,,,
862322 A. leucophylla,–,–,–,–,R,F,1,,,,,,,,
862323 A. dracunculus,–,–,–,–,R,F,1,,,,,,,,
862324 A. canadensis,–,–,–,–,R,S,1,,,,,,,1,
862325a A. borealis ssp. borealis,–,–,R,F,F,F,1,,,,,,,,
862325b A. borealis ssp. richardsoniana,–,–,R,S,S,–,1,1,,,,,,,
8624 Tussilago,,,,,,,,,,,,,,,8624
862401 T. farfara,–,–,–,R,F,F,1,,,,,,,,
8625 Petasites,,,,,,,,,,,,,,,8625
862501 P. sagittatus,–,–,–,R,F,F,1,,,,,,,,
862502 P. x vitifolius,–,–,–,–,R,F,1,,,,,,,,
862503a P. frigidus ssp. frigidus,–,?,F,F,F,F,1,,,,,,,,
862503b P. frigidus ssp. nivalis,–,–,–,S,F,F,1,,,,,,,,
862503c P. frigidus ssp. palmatus,–,–,–,–,S,F,1,,,,,,,,
862503d P. frigidus ssp. arcticus,–,–,–,–,R,R,1,,,,,,,,
862504 P. radiatus,–,–,–,R,F,F,1,,,,,,,,
8626 Endocellion,,,,,,,,,,,,,,,8626
862601 E. glaciale,–,–,?,S,F,F,1,,,,,,,,
862602 E. sibiricum,–,–,R,F,F,F,1,,,,,,,,
8627 Parasenecio,,,,,,,,,,,,,,,8627
862701 P. hastatus,–,–,–,–,R,F,1,,,,,,,,
8628 Senecio,,,,,,,,,,,,,,,8628
862801 S. vulgaris,–,–,–,–,*,S,1,,,,,1,,,
862802 S. nemorensis (ssp. nemorensis),–,–,–,–,S,F,1,,,,,,,,
862803 S. pseudoarnica,–,–,–,S,F,F,1,,,,,,,,
862804 S. lugens,–,–,R,F,F,F,1,,,,,,,,
862805 S. ambraceus,–,–,–,–,b,S,1,,1,,,,,,
8629 Packera,,,,,,,,,,,,,,,8629
862901 P. heterophylla,–,–,R,F,F,F,1,,,,,,,,
862902 P. ogotorukensis,–,–,–,R,S,F,1,,,,,,,,
862903a P. hyperborealis ssp. hyperborealis,–,–,R,F,F,S,1,,,,,,,,
862903b P. hyperborealis ssp. wrangelica,–,–,R,R,–,–,1,1,,,,,,,
862904 P. pauciflora,–,–,–,–,R,F,1,,,,,,,,
862906 P. paupercula,–,–,–,–,S,F,1,,,,,,,,
8630 Tephroseris,,,,,,,,,,,,,,,8630
863001a T. palustris ssp. congesta,–,–,R,F,F,F,1,,,,,,,,
863002 T. jacutica,–,–,–,–,F,F,1,,,,,,,,
863003 T. integrifolia,–,–,R,F,F,F,1,,,,,,,,
863004 T. tundricola,–,–,–,S,F,F,1,,,,,,,,
863005 T. lindstroemii,–,–,R,F,F,F,1,,,,,,,,
863006 T. atropurpurea,–,–,R,F,F,F,1,,,,,,,,
863007 T. frigida,–,–,R,F,F,F,1,,,,,,,,
863008 T. subfrigida,–,–,–,R,F,F,1,,,,,,,,
863009 T. kjellmanii,–,–,–,S,F,S,1,,,,,,,,
863010 T. yukonensis,–,–,–,R,S,S,1,,,,,,,,
8631 Ligularia,,,,,,,,,,,,,,,8631
863101 L. sibirica,–,–,–,–,S,F,1,,,,,,,,
8632 Saussurea,,,,,,,,,,,,,,,8632
863201 S. schanginiana,–,–,–,–,S,F,1,,,,,,,,
863202 S. nuda,–,–,–,R,F,F,1,,,,,,,,
863203 S. oxyodonta,–,–,–,?,S,F,1,,,,,,,,
863204 S. parviflora,–,–,–,–,R,F,1,,,,,,,,
863205 S. alpina,–,–,R,R,F,F,1,,,,,,,,
863206a S. angustifolia ssp. angustifolia,–,–,R,F,F,F,1,,,,,,,,
863206b S. angustifolia var. viscida,–,–,–,R,R,R,1,,,,,,,,
863206c S. angustifolia ssp. yukonensis,–,–,R,S,S,S,1,,,,,,,,
863207 S. tilesii,–,S,F,F,F,S,1,,,,,,,,
863208 S. triangulata,–,–,–,–,b,R,1,,1,,,,,,
8633 Carduus,,,,,,,,,,,,,,,8633
863301 C. crispus,–,–,–,–,*,R,1,,,,,1,,,
8634 Cirsium,,,,,,,,,,,,,,,8634
863401 C. heterophyllum,–,–,–,S,F,F,1,,,,,,,,
863402 C. helenioides,–,–,–,R,F,F,1,,,,,,,,
863403a C. arvense ssp. arvense,–,–,–,–,*,S,1,,,1,,,,,
863403b C. arvense ssp. setosum,–,–,–,–,*,S,1,,,1,,,,,
863404 C. drummondii,–,–,–,–,b,S,1,,1,,,,,,
8635 Centaurea,,,,,,,,,,,,,,,8635
863501 C. montana,–,–,–,–,*,*,1,,,1,,,,,
8636 Scorzoneroides,,,,,,,,,,,,,,,8636
863601a S. autumnalis ssp. autumnalis,–,–,–,–,*,F,1,,,,,1,,,
863601b S. autumnalis ssp. taraxaci,–,–,–,?,F,F,1,,,,,,,,
8637 Sonchus,,,,,,,,,,,,,,,8637
863701a S. arvensis ssp. arvensis,–,–,–,–,R,F,1,,,,,,,1,
863701b S. arvensis ssp. uliginosus,–,–,–,–,*,*,1,,,1,,,,,
8638 Lactuca,,,,,,,,,,,,,,,8638
863801 L. sibirica,–,–,–,–,R,F,1,,,,,,,,
863802b L. tatarica ssp. pulchella,–,–,–,–,b,S,1,,1,,,,,,
8639 Cicerbita,,,,,,,,,,,,,,,8639
863901 C. alpina,–,–,–,–,S,F,1,,,,,,,,
8640 Agoseris,,,,,,,,,,,,,,,8640
864001a A. glauca var. dasycephala,–,–,–,–,R,–,1,1,,,,,,,
8641 Taraxacum,,,,,,,,,,,,,,,8641
864101 T. holmenianum,?,S,S,S,R,–,1,1,,,,,,,
864102 T. phymatocarpum agg.,R,F,F,F,S,R,1,,,,,,,,
864103 T. soczavae agg.,–,–,R,F,F,S,1,,,,,,,,
864104 T. alaskanum agg.,–,–,S,F,F,F,1,,,,,,,,
864105 T. arcticum agg.,–,R,F,F,F,F,1,,,,,,,,
864106 T. glabrum agg.,–,R,S,S,S,R,1,,,,,,,,
864107 T. ceratophorum agg.,–,R,F,F,F,F,1,,,,,,,,
864108 T. macroceras agg.,–,R,R,S,S,S,1,,,,,,,,
864109 T. lacerum agg.,?,S,F,F,F,F,1,,,,,,,,
864110 T. lateritium agg.,–,–,S,F,F,F,1,,,,,,,,
864111 T. albescens agg.,–,–,R,R,R,S,1,,,,,,,,
"864112 Not assigned to aggregate: * T. longicorne (H-L, N) (R S F) / perfiljevii (D-G) (S F F)",–,–,–,S,F,F,1,,,,,,,,
864113 T. praestans agg.,–,–,–,–,R,F,1,,,,,,,,
864114 T. croceum agg.,–,–,R,F,F,F,1,,,,,,,,
864115 T. islandicum agg.,–,–,R,R,S,F,1,,,,,,,,
864116 T. spectabile agg.,–,–,R,–,S,S,1,,,,,,,,
864117 T. boreum agg.,–,–,–,–,R,S,1,,,,,,,,
864118 T. falcatum,–,–,–,–,R,S,1,,,,,,,,
864119 T. jacuticum,–,–,–,–,R,?,1,?,,,,,,,
864120 T. crassipes agg.,–,–,–,–,R,F,1,,,,,,,,
864121 T. ruderalia agg.,–,–,**,*,R,F,1,,,,,,1,,
8642 Crepis,,,,,,,,,,,,,,,8642
864201 C. sibirica,–,–,–,–,S,F,1,,,,,,,,
864202 C. paludosa,–,–,–,–,R,F,1,,,,,,,,
864203a C. chrysantha ssp. minor,–,–,–,S,F,F,1,,,,,,,,
864204a C. tectorum ssp. tectorum,–,–,–,–,R,F,1,,,,,,,1,
864204b C. tectorum ssp. nigrescens,–,–,–,–,S,F,1,,,,,,,,
864204c C. tectorum ssp. pumila,–,–,–,–,R,S,1,,,,,,,,
864205 C. multicaulis,–,–,–,–,R,R,1,,,,,,,,
8643 Askellia,,,,,,,,,,,,,,,8643
864301 A. nana,R,R,S,F,F,F,1,,,,,,,,
864302 A. elegans,–,–,–,–,R,F,1,,,,,,,,
8644 Stenotheca,,,,,,,,,,,,,,,8644
864401 S. tristis,–,–,–,–,R,S,1,,,,,,,,
8645 Pilosella,,,,,,,,,,,,,,,8645
864501 P. peleteriana,–,–,–,–,R,S,1,,,,,,,,
864502 P. cymosa,–,–,–,–,R,F,1,,,,,,,,
864503 P. onegensis,–,–,–,–,*,S,1,,,1,,,,,
864504 Hieracium macranthelum,–,–,–,–,R,S,1,,,,,,,,
864505 P. islandica,–,–,–,–,F,F,1,,,,,,,,
864506 P. aurantiaca,–,–,–,–,*,*,1,,,1,,,,,
8646 Hieracium,,,,,,,,,,,,,,,8646
864601 H. murorum agg.,–,–,–,–,S,F,1,,,,,,,,
864602 H. bifidum agg.,–,–,–,–,S,F,1,,,,,,,,
864603 H. fuscocinereum agg.,–,–,–,–,R,F,1,,,,,,,,
864604 H. vulgatum agg.,–,–,–,–,R,F,1,,,,,,,,
864605 H. fasciculare agg.,–,–,–,–,R,S,1,,,,,,,,
864606 H. caesium agg.,–,–,–,–,R,S,1,,,,,,,,
864607 H. subramosum agg.,–,–,–,–,R,S,1,,,,,,,,
864608 H. diaphanum agg.,–,–,–,–,S,S,1,,,,,,,,
864609 H. diaphanoides agg.,–,–,–,–,S,F,1,,,,,,,,
864610 H. schmidtii agg.,–,–,–,–,S,F,1,,,,,,,,
864611 H. sommerfeltii agg.,–,–,–,–,S,F,1,,,,,,,,
864612 H. saxifragum agg.,–,–,–,–,F,F,1,,,,,,,,
864613 H. alatum agg.,–,–,–,–,R,S,1,,,,,,,,
864614 H. alpinum agg.,–,–,?,F,F,F,1,,,,,,,,
864615 H. nigrescens agg.,–,–,–,R,S,F,1,,,,,,,,
864616 H. atratum agg.,–,–,–,R,S,S,1,,,,,,,,
864617 H. rohacsense agg.,–,–,–,–,R,R,1,,,,,,,,
864618 H. prenanthoides agg.,–,–,–,–,R,S,1,,,,,,,,
864620 H. epimedium agg.,–,–,–,–,S,S,1,,,,,,,,
864621 H. dovrense agg.,–,–,–,–,R,S,1,,,,,,,,
864622 H. plicatum agg.,–,–,–,R,S,S,1,,,,,,,,
864623 H. truncatum agg.,–,–,–,–,R,R,1,,,,,,,,
954224 H. inuloides agg.,–,–,–,–,R,S,1,,,,,,,,
864625 H. umbellatum agg.,–,–,–,–,R,F,1,,,,,,,,
864626 H. laevigatum agg.,–,–,–,R,S,F,1,,,,,,,,
87 ADOXACEAE,,,,,,,,,,,,,,,
8701 Adoxa,,,,,,,,,,,,,,,8701
870101 A. moschatellina,–,–,?,F,F,F,1,,,,,,,,
8702 Sambucus,,,,,,,,,,,,,,,8702
870201a S. racemosa ssp. pubens,–,–,–,–,R,F,1,,,,,,,,
8703 Viburnum,,,,,,,,,,,,,,,8703
870301 V. edule,–,–,–,–,R,F,1,,,,,,,,
88 CAPRIFOLIACEAE,,,,,,,,,,,,,,,
8801 Lonicera,,,,,,,,,,,,,,,8801
880101 L. involucrata,–,–,–,–,b,F,1,,1,,,,,,
880102a L. caerulea ssp. altaica,–,–,–,–,R,F,1,,,,,,,,
880102b L. caerulea ssp. pallasii,–,–,–,–,S,F,1,,,,,,,,
880102c L. caerulea ssp. villosa,–,–,–,–,R,S,1,,,,,,,,
89 LINNAEACEAE,,,,,,,,,,,,,,,
8902 Linnaea,,,,,,,,,,,,,,,8902
890201a L. borealis ssp. borealis,–,–,–,S,F,F,1,,,,,,,,
890201b L. borealis ssp. americana,–,–,?,S,F,F,1,,,,,,,,
90 VALERIANACEAE,,,,,,,,,,,,,,,
9001 Valeriana,,,,,,,,,,,,,,,9001
900101 V. capitata,–,–,R,F,F,F,1,,,,,,,,
900102a V. dioica ssp. sylvatica,–,–,–,–,R,F,1,,,,,,,,
900102 V. officinalis,–,–,–,–,*,*,1,,,1,,,,,
900104a V. sambucifolia ssp. procurrens,–,–,–,–,S,F,1,,,,,,,,
900105 V. wolgensis,–,–,–,R,F,F,1,,,,,,,,
900106 V. transjenisensis,–,–,–,–,R,S,1,,,,,,,,
91 APIACEAE,,,,,,,,,,,,,,,
9101 Chaerophyllum,,,,,,,,,,,,,,,9101
910101 C. prescottii,–,–,–,–,*,S,1,,,1,,,,,
9102 Sphallerocarpus,,,,,,,,,,,,,,,9102
910201 S. gracilis,–,–,–,–,*,S,1,,,1,,,,,
9103 Anthriscus,,,,,,,,,,,,,,,9103
910301a A. sylvestris ssp. sylvestris,–,–,–,–,S,F,1,,,,1,,,,
910301b A. sylvestris ssp. aemula,–,–,–,–,R,F,1,,,,,,,,
9104 Myrrhis,,,,,,,,,,,,,,,9104
910401 M. odorata,–,–,–,–,*,*,1,,,1,,,,,
9105 Pleurospermum,,,,,,,,,,,,,,,9105
910501a P. austriacum ssp. uralense,–,–,–,–,R,F,1,,,,,,,,
9106 Bupleurum,,,,,,,,,,,,,,,9106
910601 B. triradiatum,–,–,–,–,R,F,1,,,,,,,,
910602 B. arcticum,–,–,–,S,S,S,1,,,,,,,,
910603 B. americanum,–,–,–,S,F,F,1,,,,,,,,
9107 Cicuta,,,,,,,,,,,,,,,9107
910701 C. virosa,–,–,–,–,R,F,1,,,,,,,,
910702 C. bulbifera,–,–,–,–,R,F,1,,,,,,,,
910703 C. douglasii,–,–,–,–,R,S,1,,,,,,,,
9108 Sium,,,,,,,,,,,,,,,9108
910801 S. suave,–,–,–,–,R,F,1,,,,,,,,
9109 Carum,,,,,,,,,,,,,,,9109
910901 C. carvi,–,–,–,–,*,F,1,,,,,1,,,
9110 Pimpinella,,,,,,,,,,,,,,,9110
911001 P. saxifraga,–,–,–,–,*,S,1,,,1,,,,,
9111 Aegopodium,,,,,,,,,,,,,,,9111
911101 A. alpestre,–,–,–,–,R,F,1,,,,,,,,
911102 A. podagraria,–,–,–,–,*,S,1,,,1,,,,,
9112 Seseli,,,,,,,,,,,,,,,9112
911201 S. condensatum,–,–,–,–,R,S,1,,,,,,,,
9113 Ligusticum,,,,,,,,,,,,,,,9113
911301a L. scothicum ssp. scothicum,–,–,–,–,S,F,1,,,,,,,,
911301b L. scothicum ssp. hultenii,–,–,–,–,S,F,1,,,,,,,,
9114 Podistera,,,,,,,,,,,,,,,9114
911401 P. macounii,–,–,–,–,S,S,1,,,,,,,,
9115 Pachypleurum,,,,,,,,,,,,,,,9115
911501 P. alpinum,–,–,–,R,F,F,1,,,,,,,,
9116 Cenolophium,,,,,,,,,,,,,,,9116
911601 C. denudatum,–,–,–,–,R,S,1,,,,1,,,,
9117 Cnidium,,,,,,,,,,,,,,,9117
911701 C. cnidiifolium,–,–,–,R,S,F,1,,,,,,,,
911702 C. ajanense,–,–,–,–,R,S,1,,,,,,,,
9118 Conioselinum,,,,,,,,,,,,,,,9118
911801 C. tataricum,–,–,–,–,S,F,1,,,,,,,,
911803 C. pacificum,–,–,–,R,S,F,1,,,,,,,,
9119 Angelica,,,,,,,,,,,,,,,9119
911901 A. sylvestris,–,–,–,–,S,F,1,,,,,,,,
911902a A. archangelica ssp. archangelica,–,–,–,F,F,F,1,,,,,,,,
911902b A. archangelica var. decurrens,–,–,–,–,F,F,1,,,,,,,,
911903 A. atropurpurea,–,–,–,–,R,F,1,,,,,,,,
911904 A. gmelinii,–,–,–,R,F,F,1,,,,,,,,
911905 A. genuflexa (ssp. genuflexa),–,–,–,–,R,S,1,,,,,,,,
911906 A. tenuifolia,–,–,–,–,R,F,1,,,,,,,,
9120 Phloiodicarpus,,,,,,,,,,,,,,,9120
912001 P. villosus,–,–,–,R,S,F,1,,,,,,,,
9122 Heracleum,,,,,,,,,,,,,,,9122
912201a H. sphondylium ssp. sibiricum,–,–,–,–,R,F,1,,,,1,,,,
912202 H. lanatum,–,–,–,–,R,F,1,,,,,,,,
912203 H. dissectum,–,–,–,–,R,F,1,,,,,,,,
912204 H. persicum,–,–,–,–,*,*,1,,,1,,,,,
912205 H. mantegazzianum,–,–,–,–,*,*,1,,,1,,,,,
